lloc,scloc,calculated_length,volume,difficulty,effort,time,bugs,Target
0.183238636,0.182312925,0.051889957,0.043229576,0.204618117,0.018186163,0.018186163,0.043229576,1
0.088068182,0.088435374,0.042500428,0.038366454,0.318700837,0.024064264,0.024064264,0.038366454,1
0.066761364,0.06122449,0.038566063,0.037461929,0.244194461,0.018453417,0.018453417,0.037461928,1
0.029829545,0.058503401,0.001238756,0.001300827,0.009473061,9.29E-05,9.29E-05,0.001300827,1
0.178977273,0.159183673,0.138974716,0.141113982,0.582967187,0.155200948,0.155200948,0.141113982,1
0.080965909,0.07755102,0.00917542,0.010932037,0.062522202,0.001814498,0.001814498,0.010932037,1
0.078125,0.07755102,0.006773588,0.004925341,0.028419183,0.000515994,0.000515994,0.00492534,1
0.055397727,0.06122449,0.002084181,0.001552091,0,7.92E-05,7.92E-05,0.001552091,1
0.115056818,0.144217687,0.037152074,0.050472104,0.182694748,0.019219719,0.019219719,0.050472104,1
0.102272727,0.097959184,0.028583797,0.03870715,0.236395931,0.018517303,0.018517303,0.03870715,1
0.072443182,0.055782313,0.024355445,0.030548198,0.399540278,0.023663197,0.023663197,0.030548198,1
0.076704545,0.073469388,0.006358412,0.007518094,0.093377315,0.001687953,0.001687953,0.007518094,1
0.058238636,0.074829932,0.016673448,0.022071586,0.021314387,0.00198115,0.00198115,0.022071586,1
0.038352273,0.074829932,0.032329922,0.039552023,0.162557726,0.013640181,0.013640181,0.039552023,1
0.066761364,0.068027211,0.005119656,0.004422813,0.004059883,0.000259854,0.000259854,0.004422813,1
0.068181818,0.058503401,0.009516716,0.011773918,0.173672785,0.004353971,0.004353971,0.011773918,1
0.039772727,0.076190476,0.00795358,0.010540131,0.066311427,0.001823988,0.001823988,0.010540131,1
0.122159091,0.146938776,0.018623947,0.022948281,0.065196949,0.003888321,0.003888321,0.022948281,1
0.184659091,0.189115646,0.017912204,0.042841236,0.248667851,0.021433071,0.021433071,0.042841235,1
0.053977273,0.055782313,0.029149916,0.01975116,0.170515098,0.007135492,0.007135492,0.01975116,1
0.061079545,0.06122449,0.020714096,0.018302878,0.195381883,0.007447037,0.007447037,0.018302878,1
0.129261364,0.12244898,0.04413534,0.037286399,0.280271942,0.020799983,0.020799983,0.037286399,1
0.065340909,0.074829932,0.116777103,0.158225607,0.231756436,0.074032901,0.074032901,0.158225607,1
0.069602273,0.069387755,0.026559849,0.020529002,0.159147425,0.006988985,0.006988985,0.020529002,1
0.086647727,0.073469388,0.033270315,0.027825113,0.136412078,0.008299844,0.008299844,0.027825113,1
0.073863636,0.063945578,0.037678276,0.036800137,0.329662522,0.023817427,0.023817427,0.036800137,1
0.086647727,0.082993197,0.063812159,0.052048356,0.130199513,0.014886253,0.014886253,0.052048356,1
0.112215909,0.11292517,0.064122127,0.049405461,0.184724689,0.018996391,0.018996391,0.049405461,1
0.082386364,0.088435374,0.060250879,0.047162161,0.124073994,0.012972831,0.012972832,0.047162161,1
0.086647727,0.099319728,0.040743453,0.032434164,0.165615239,0.011378644,0.011378644,0.032434163,1
0.139204545,0.157823129,0.150232659,0.140425253,0.262381759,0.073453445,0.073453445,0.140425253,1
0.088068182,0.081632653,0.034863418,0.041629439,0.206585599,0.017664543,0.017664544,0.041629438,1
0.120738636,0.102040816,0.08984471,0.068940981,0.181172291,0.026032221,0.026032221,0.068940981,1
0.315340909,0.280272109,0.265003076,0.266797692,0.509873576,0.258135259,0.258135259,0.266797692,1
0.164772727,0.170068027,0.105458135,0.1688296,0.720729115,0.227460264,0.227460264,0.1688296,1
0.700284091,0.589115646,0.534469301,0.676653027,0.79425339,1,1,0.676653027,1
0.183238636,0.167346939,0.210693501,0.186996368,0.342287681,0.124642777,0.124642777,0.186996368,1
0.066761364,0.058503401,0.027054834,0.024809124,0.147509092,0.007906691,0.007906691,0.024809124,1
0.119318182,0.107482993,0.109415136,0.09909219,0.28637792,0.056150288,0.056150288,0.09909219,1
0.061079545,0.054421769,0.043470338,0.034300494,0.197039668,0.013979215,0.013979215,0.034300494,1
0.201704545,0.127891156,0.30247161,0.349494297,0.4024523,0.270604788,0.270604788,0.349494297,1
0.065340909,0.070748299,0.041320436,0.030003146,0.207054047,0.012783593,0.012783593,0.030003146,1
0.447443182,0.412244898,0.512791693,0.472571294,0.31983228,0.295682473,0.295682474,0.472571294,1
0.092329545,0.088435374,0.098585264,0.100307816,0.289875666,0.057469152,0.057469152,0.100307816,1
0.157670455,0.14829932,0.224325546,0.198246101,0.174242204,0.072228929,0.072228929,0.198246101,1
0.177556818,0.176870748,0.033923025,0.029101717,0.107118459,0.00713316,0.00713316,0.029101717,1
0.191761364,0.123809524,0.108235145,0.122128617,0.314359885,0.07532257,0.07532257,0.122128617,1
0.208806818,0.194557823,0.079221083,0.087741324,0.523033899,0.087132102,0.087132102,0.087741324,1
0.217329545,0.205442177,0.204881184,0.163260879,0.213143872,0.070919985,0.070919985,0.163260879,1
0.0625,0.059863946,0.075715837,0.062912466,0.166455214,0.022093708,0.022093708,0.062912466,1
0.133522727,0.118367347,0.072054164,0.062328538,0.171119761,0.02241363,0.02241363,0.062328538,1
0.090909091,0.084353741,0.034863418,0.030673696,0.141002869,0.009398028,0.009398028,0.030673696,1
0.095170455,0.092517007,0.052543716,0.062235485,0.650890964,0.076223348,0.076223348,0.062235484,1
0.132102273,0.130612245,0.088785114,0.095315382,0.645115453,0.115585302,0.115585302,0.095315382,1
0.106534091,0.106122449,0.085281416,0.101978876,0.486469543,0.094518086,0.094518086,0.101978876,1
0.096590909,0.096598639,0.019698022,0.019166234,0.1669627,0.00680261,0.00680261,0.019166234,1
0.063920455,0.06122449,0.024355445,0.022695086,0.292550413,0.013217694,0.013217694,0.022695085,1
0.123579545,0.115646259,0.102953764,0.139392369,0.679170304,0.177436706,0.177436706,0.139392369,1
0.072443182,0.069387755,0.037678276,0.056653871,0.544511545,0.058542166,0.058542166,0.056653871,1
0.015625,0.014965986,0.005279403,0.003451007,0.056838366,0.000554908,0.000554908,0.003451007,1
0.106534091,0.102040816,0.04535718,0.063681019,0.559563913,0.067500326,0.067500326,0.063681019,1
0.059659091,0.054421769,0.082373065,0.091546738,0.571936057,0.098962612,0.098962612,0.091546738,1
0.059659091,0.054421769,0.071535098,0.075697403,0.552144126,0.079176005,0.079176005,0.075697403,1
0.056818182,0.054421769,0.013771384,0.013788771,0.089629731,0.002964905,0.002964905,0.013788771,1
0.059659091,0.058503401,0.0261466,0.019917556,0.191455548,0.007953693,0.007953693,0.019917556,1
0.076704545,0.091156463,0.07827047,0.072436717,0.502072232,0.069239935,0.069239935,0.072436718,1
0.079545455,0.093877551,0.028771745,0.01975116,0.210301954,0.008565245,0.008565245,0.01975116,1
0.132102273,0.149659864,0.230637602,0.347188464,0.731852678,0.474343696,0.474343696,0.347188464,1
0.038352273,0.069387755,0.005279403,0.004275712,0.071047957,0.000796913,0.000796913,0.004275712,1
0.072443182,0.069387755,0.028583797,0.029429217,0.178265784,0.011006069,0.011006069,0.029429217,1
0.059659091,0.053061224,0.008671291,0.008133986,0.085257549,0.001700262,0.001700262,0.008133986,1
0.072443182,0.099319728,0.04413534,0.035921069,0.271452196,0.019470097,0.019470097,0.035921069,1
0.068181818,0.06122449,0.054202835,0.060104951,0.380817052,0.044348189,0.044348189,0.060104951,1
0.119318182,0.117006803,0.049620444,0.052706139,0.309166263,0.032095899,0.032095899,0.052706139,1
0.120738636,0.145578231,0.170430023,0.240800298,0.576848947,0.261997747,0.261997747,0.240800298,1
