loc,lloc,scloc,comments,single_comments,multi_comments,blanks,h1,h2,n1,n2,vocabulary,length,calculated_length,volume,difficulty,effort,time,bugs,Target
0.16936671575846834,0.18323863636363638,0.18231292517006803,0.09574468085106383,0.10975609756097561,0.13953488372093023,0.1694915254237288,0.3529411764705882,0.07816091954022988,0.06734006734006734,0.06944444444444445,0.0909090909090909,0.06872852233676975,0.051889956978207294,0.043229576064635435,0.20461811722912965,0.018186163260793444,0.018186163260109908,0.04322957604986572,1
0.11561119293078055,0.08806818181818182,0.08843537414965985,0.2127659574468085,0.24390243902439024,0.11395348837209301,0.14689265536723164,0.47058823529411764,0.06206896551724138,0.06060606060606061,0.06423611111111112,0.07954545454545454,0.06300114547537228,0.04250042772800803,0.03836645371866153,0.31870083734280646,0.02406426372582943,0.024064263736986558,0.03836645362457696,1
0.03755522827687776,0.06676136363636365,0.061224489795918366,0.02127659574468085,0.012195121951219513,0.0,0.04519774011299435,0.3529411764705882,0.059770114942528735,0.06397306397306397,0.06249999999999999,0.07272727272727272,0.06300114547537228,0.0385660629563862,0.037461928590763395,0.2441944608738899,0.0184534166894766,0.01845341669490771,0.037461928470426946,1
0.032400589101620025,0.029829545454545452,0.058503401360544216,0.031914893617021274,0.03658536585365854,0.0,0.005649717514124294,0.0,0.004597701149425287,0.003367003367003367,0.005208333333333333,0.004545454545454545,0.004581901489117983,0.0012387557978884723,0.0013008274354273787,0.009473061001776202,9.294051628817141e-05,9.294051607821382e-05,0.0013008273056830655,1
0.11855670103092783,0.17897727272727273,0.15918367346938775,0.24468085106382978,0.2804878048780488,0.0,0.13559322033898305,0.8235294117647058,0.1724137931034483,0.1919191919191919,0.1875,0.20227272727272727,0.18900343642611686,0.1389747158621723,0.14111398198623978,0.5829671872113676,0.1552009477929395,0.15520094779166016,0.14111398189287003,1
0.05817378497790869,0.0809659090909091,0.07755102040816327,0.031914893617021274,0.03658536585365854,0.037209302325581395,0.03389830508474576,0.058823529411764705,0.020689655172413793,0.02356902356902357,0.026041666666666664,0.022727272727272728,0.025200458190148912,0.00917541970360491,0.010932036695464156,0.06252220248667852,0.0018144984119518863,0.0018144984123720242,0.010932036565623894,1
0.054491899852724596,0.078125,0.07755102040816327,0.05319148936170213,0.06097560975609756,0.0,0.0847457627118644,0.058823529411764705,0.016091954022988506,0.0101010101010101,0.012152777777777776,0.01818181818181818,0.011454753722794959,0.006773588382806766,0.004925340758306133,0.028419182948490232,0.0005159942900528013,0.0005159942899603405,0.004925340481210465,1
0.04197349042709867,0.05539772727272728,0.061224489795918366,0.05319148936170213,0.06097560975609756,0.0,0.05649717514124294,0.0,0.006896551724137931,0.003367003367003367,0.005208333333333333,0.006818181818181819,0.004581901489117983,0.0020841810408636203,0.0015520911743539013,0.0,7.920901021596564e-05,7.920901015169134e-05,0.0015520909705277947,1
0.1053019145802651,0.11505681818181819,0.14421768707482993,0.20212765957446807,0.23170731707317074,0.0,0.11864406779661017,0.1764705882352941,0.06206896551724138,0.08417508417508417,0.08854166666666667,0.06818181818181818,0.08705612829324169,0.037152073984667085,0.05047210449458229,0.1826947475097691,0.01921971942503801,0.01921971942066441,0.050472104377630646,1
0.0743740795287187,0.10227272727272728,0.09795918367346938,0.13829787234042554,0.15853658536585366,0.0,0.10734463276836158,0.23529411764705882,0.04827586206896552,0.0707070707070707,0.06944444444444445,0.056818181818181816,0.06987399770904926,0.028583796864684187,0.038707149633858205,0.23639593088454708,0.018517303137354012,0.01851730313057179,0.03870714969596156,1
